04-20-2025 16:11:50 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [4%@1510,17%@1510,6%@729,3%@729,5%@729,5%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@53.5C soc0@52.218C gpu@54.125C tj@54.437C soc1@54.187C VDD_IN 5486mW/5486mW VDD_CPU_GPU_CV 689mW/689mW VDD_SOC 1544mW/1544mW
04-20-2025 16:11:51 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1369,3%@729,1%@729,3%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 15%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.75C soc2@53.375C soc0@52.312C gpu@54.062C tj@54.75C soc1@54.125C VDD_IN 5405mW/5445mW VDD_CPU_GPU_CV 649mW/669mW VDD_SOC 1544mW/1544mW
04-20-2025 16:11:52 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1510,1%@1510,1%@994,2%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.531C soc2@53.5C soc0@52.218C gpu@54.093C tj@54.531C soc1@54.406C VDD_IN 5405mW/5432mW VDD_CPU_GPU_CV 608mW/648mW VDD_SOC 1544mW/1544mW
04-20-2025 16:11:53 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1367,2%@729,2%@729,3%@729,1%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.562C soc2@53.468C soc0@52.156C gpu@54.093C tj@54.562C soc1@54.156C VDD_IN 5445mW/5435mW VDD_CPU_GPU_CV 649mW/648mW VDD_SOC 1544mW/1544mW
04-20-2025 16:11:54 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [3%@1382,2%@729,3%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.718C soc2@53.343C soc0@52.406C gpu@54.031C tj@54.718C soc1@54.062C VDD_IN 5445mW/5437mW VDD_CPU_GPU_CV 649mW/648mW VDD_SOC 1544mW/1544mW
04-20-2025 16:11:55 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1509,1%@729,2%@729,1%@729,2%@729,2%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.5C soc2@53.437C soc0@52.312C gpu@54C tj@54.718C soc1@54.375C VDD_IN 5405mW/5431mW VDD_CPU_GPU_CV 608mW/642mW VDD_SOC 1544mW/1544mW
04-20-2025 16:11:56 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [3%@729,1%@729,1%@729,2%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.468C soc2@53.406C soc0@52.218C gpu@54.031C tj@54.468C soc1@54.156C VDD_IN 5405mW/5428mW VDD_CPU_GPU_CV 608mW/637mW VDD_SOC 1544mW/1544mW
04-20-2025 16:11:58 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [3%@729,1%@729,2%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.781C soc2@53.468C soc0@52.406C gpu@54.031C tj@54.781C soc1@54C VDD_IN 5405mW/5425mW VDD_CPU_GPU_CV 649mW/638mW VDD_SOC 1544mW/1544mW
04-20-2025 16:11:59 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [0%@1407,1%@729,2%@729,1%@729,2%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.593C soc2@53.468C soc0@52.343C gpu@54.031C tj@54.593C soc1@54.375C VDD_IN 5405mW/5422mW VDD_CPU_GPU_CV 608mW/635mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:00 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1259,2%@729,3%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 12%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.5C soc2@53.406C soc0@52.156C gpu@54.062C tj@54.5C soc1@54.218C VDD_IN 5405mW/5421mW VDD_CPU_GPU_CV 649mW/636mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:01 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1367,0%@729,2%@729,2%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.593C soc2@53.437C soc0@52.406C gpu@53.968C tj@54.593C soc1@54.125C VDD_IN 5405mW/5419mW VDD_CPU_GPU_CV 608mW/634mW VDD_SOC 1544mW/1544mW
